Chrom	Start	End	Strand	Size	Method	Cell line	Tissue	Species	Genome	Organ	Reference	Pubmed
chr1	118893	118984	.	91	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	120203	120308	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	244147	244227	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	540906	541007	.	101	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1042762	1042842	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1048008	1048138	.	130	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1268347	1268436	.	89	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1347662	1347742	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1467394	1467517	.	123	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1479002	1479131	.	129	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1494509	1494735	.	226	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1522618	1522712	.	94	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1628290	1628377	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1636351	1636431	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	1702843	1703000	.	157	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	2090747	2090827	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	2399620	2399711	.	91	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	2402724	2402808	.	84	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	3416973	3417074	.	101	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	3418791	3418910	.	119	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	3426963	3427069	.	106	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	3636716	3636867	.	151	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	3766609	3766689	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	3802080	3802160	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	4147730	4147872	.	142	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	4187730	4187841	.	111	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	4508910	4508990	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	5611755	5611916	.	161	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	5907428	5907569	.	141	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	6221865	6221945	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	6232764	6232844	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	6253165	6253245	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	6281645	6281812	.	167	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	6284110	6284251	.	141	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	7793595	7793802	.	207	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	7871412	7871506	.	94	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	7876531	7876611	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	7907747	7907983	.	236	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	7931057	7931137	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	7981869	7981981	.	112	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8003448	8003546	.	98	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8099331	8099454	.	123	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8130072	8130152	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8160778	8160924	.	146	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8166659	8166743	.	84	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8212254	8212334	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8218277	8218364	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8252767	8252875	.	108	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8289615	8289695	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8289744	8289870	.	126	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8309281	8309412	.	131	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8362641	8362759	.	118	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8530623	8530728	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8633866	8633946	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8709194	8709299	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8797086	8797179	.	93	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8829971	8830051	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	8840494	8840609	.	115	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9182355	9182480	.	125	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9254212	9254360	.	148	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9278185	9278287	.	102	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9401096	9401200	.	104	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9449040	9449185	.	145	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9567757	9567837	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9622430	9622510	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9646431	9646601	.	170	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9681292	9681448	.	156	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9693703	9693783	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	9996338	9996418	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10019400	10019480	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10067362	10067505	.	143	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10138709	10138880	.	171	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10147890	10147985	.	95	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10175727	10175855	.	128	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10182770	10182861	.	91	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10242830	10242965	.	135	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10245253	10245342	.	89	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr1	10249981	10250061	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
